image_path,label
./datasets/train/0\syn00065.png,0
./datasets/train/0\syn00144.png,0
./datasets/train/0\syn00160.png,0
./datasets/train/0\syn00162.png,0
./datasets/train/0\syn00205.png,0
./datasets/train/0\syn00248.png,0
./datasets/train/0\syn00263.png,0
./datasets/train/0\syn00302.png,0
./datasets/train/0\syn00331.png,0
./datasets/train/0\syn00525.png,0
./datasets/train/0\syn00527.png,0
./datasets/train/0\syn00581.png,0
./datasets/train/0\syn00610.png,0
./datasets/train/0\syn00649.png,0
./datasets/train/0\syn00697.png,0
./datasets/train/0\syn00717.png,0
./datasets/train/0\syn00753.png,0
./datasets/train/0\syn00758.png,0
./datasets/train/0\syn00778.png,0
./datasets/train/0\syn00791.png,0
./datasets/train/0\syn00810.png,0
./datasets/train/0\syn00814.png,0
./datasets/train/0\syn00850.png,0
./datasets/train/0\syn00871.png,0
./datasets/train/0\syn00906.png,0
./datasets/train/0\syn00923.png,0
./datasets/train/0\syn00943.png,0
./datasets/train/0\syn00951.png,0
./datasets/train/0\syn00952.png,0
./datasets/train/0\syn00971.png,0
./datasets/train/0\syn01114.png,0
./datasets/train/0\syn01126.png,0
./datasets/train/0\syn01210.png,0
./datasets/train/0\syn01224.png,0
./datasets/train/0\syn01240.png,0
./datasets/train/0\syn01242.png,0
./datasets/train/0\syn01255.png,0
./datasets/train/0\syn01256.png,0
./datasets/train/0\syn01292.png,0
./datasets/train/0\syn01313.png,0
./datasets/train/0\syn01371.png,0
./datasets/train/0\syn01433.png,0
./datasets/train/0\syn01445.png,0
./datasets/train/0\syn01483.png,0
./datasets/train/0\syn01518.png,0
./datasets/train/0\syn01536.png,0
./datasets/train/0\syn01565.png,0
./datasets/train/0\syn01575.png,0
./datasets/train/0\syn01641.png,0
./datasets/train/0\syn01716.png,0
./datasets/train/0\syn01832.png,0
./datasets/train/0\syn01872.png,0
./datasets/train/0\syn01877.png,0
./datasets/train/0\syn01880.png,0
./datasets/train/0\syn01902.png,0
./datasets/train/0\syn01955.png,0
./datasets/train/0\syn01957.png,0
./datasets/train/0\syn01969.png,0
./datasets/train/0\syn02023.png,0
./datasets/train/0\syn02042.png,0
./datasets/train/0\syn02049.png,0
./datasets/train/0\syn02110.png,0
./datasets/train/0\syn02164.png,0
./datasets/train/0\syn02175.png,0
./datasets/train/0\syn02186.png,0
./datasets/train/0\syn02229.png,0
./datasets/train/0\syn02243.png,0
./datasets/train/0\syn02312.png,0
./datasets/train/0\syn02325.png,0
./datasets/train/0\syn02330.png,0
./datasets/train/0\syn02366.png,0
./datasets/train/0\syn02418.png,0
./datasets/train/0\syn02438.png,0
./datasets/train/0\syn02472.png,0
./datasets/train/0\syn02476.png,0
./datasets/train/0\syn02521.png,0
./datasets/train/0\syn02523.png,0
./datasets/train/0\syn02535.png,0
./datasets/train/0\syn02558.png,0
./datasets/train/0\syn02640.png,0
./datasets/train/0\syn02674.png,0
./datasets/train/0\syn02701.png,0
./datasets/train/0\syn02707.png,0
./datasets/train/0\syn02899.png,0
./datasets/train/0\syn02902.png,0
./datasets/train/0\syn02915.png,0
./datasets/train/0\syn02981.png,0
./datasets/train/0\syn02993.png,0
./datasets/train/0\syn03043.png,0
./datasets/train/0\syn03074.png,0
./datasets/train/0\syn03096.png,0
./datasets/train/0\syn03125.png,0
./datasets/train/0\syn03170.png,0
./datasets/train/0\syn03190.png,0
./datasets/train/0\syn03195.png,0
./datasets/train/0\syn03223.png,0
./datasets/train/0\syn03343.png,0
./datasets/train/0\syn03356.png,0
./datasets/train/0\syn03371.png,0
./datasets/train/0\syn03396.png,0
./datasets/train/0\syn03410.png,0
./datasets/train/0\syn03478.png,0
./datasets/train/0\syn03493.png,0
./datasets/train/0\syn03546.png,0
./datasets/train/0\syn03561.png,0
./datasets/train/0\syn03570.png,0
./datasets/train/0\syn03574.png,0
./datasets/train/0\syn03582.png,0
./datasets/train/0\syn03586.png,0
./datasets/train/0\syn03624.png,0
./datasets/train/0\syn03634.png,0
./datasets/train/0\syn03641.png,0
./datasets/train/0\syn03683.png,0
./datasets/train/0\syn03688.png,0
